campaign_id,campaign_name,sub_category,category,country,launched,deadline,goal_usd,pledged_usd,backers,outcome
364,Zombie Fabulous #3: Mary: Sacred Heart of the Motor City,Comic Books,Comics,US,2017-06-03 00:00:00,2017-07-03 00:00:00,1000,1228,39,successful
365,MARK OF THE DOG ROSE - an Astropiano Films feature,Film & Video,Film & Video,US,2011-04-21 00:00:00,2011-07-20 00:00:00,1000,1050,18,successful
366,"Gunner Abbott: Escape From Lizardoom ""Short Film""",Science Fiction,Film & Video,US,2014-06-07 00:00:00,2014-07-07 00:00:00,200,290,10,successful
367,SHOTBOX with PANELS,Product Design,Design,US,2016-07-28 00:00:00,2016-09-01 00:00:00,15000,10433,197,canceled
368,808 SPEAKERBOX - H4 Help Hawaii Hip-Hop,Hip-Hop,Music,US,2011-10-13 00:00:00,2011-12-10 00:00:00,3000,3030.06,70,successful
369,Ki�n Light: Intelligent daylight at your fingertips,Hardware,Technology,DE,2016-10-18 00:00:00,2016-11-23 00:00:00,55835.65,170386.96,398,successful
370,NIKITA: Le Femme Assassin,Fiction,Publishing,CA,2015-05-31 00:00:00,2015-06-30 00:00:00,2835.8,5.67,1,failed
371,"LabRats Year Four: Doing more, asking for less!",Theater,Theater,US,2013-01-04 00:00:00,2013-01-21 00:00:00,7500,7957.91,133,successful
372,Healthy Eats Restaurant,Restaurants,Food,US,2014-07-09 00:00:00,2014-08-08 00:00:00,70000,0,0,failed
373,Zombie Man,Film & Video,Film & Video,US,2011-02-22 00:00:00,2011-03-24 00:00:00,2500,2625,42,successful
374,The Awesome Olympia Farmers Market Captured in Art,Art,Art,US,2014-01-28 00:00:00,2014-03-28 00:00:00,1995,2000,11,successful
375,Grandma's Filled Burgers,Restaurants,Food,US,2016-10-09 00:00:00,2016-11-23 00:00:00,65000,1,1,failed
